@relation corpus_tweets_t1
@attribute text string
@attribute opinion {+,-,=}
@data
"<s> ecotaxe sgolne royal annonce suspension sine_die ministre lecologie sgolne royal annonc URL </s> ", -
"<s> cest nombre personnes attendues HASHTAG HASHTAG week_end HASHTAG lindustrie lectrique HASHTAG </s> ", =
"<s> ministre dveloppement durable annonce suspension sine_die mesure change les URL </s> ", -
"<s> HASHTAG lunion internationale NEUTRE nature pense quil connexion importante URL </s> ", +
"<s> PSEUDO les franais souhaitent dveloppement nergies renouvelables URL </s> ", +
"<s> NEUTRE europen doit rejeter commission juncker lpo URL HASHTAG HASHTAG HASHTAG HASHTAG </s> ", -
"<s> HASHTAG lcotaxe nouveau reporte URL </s> ", =
"<s> PSEUDO dclarer sensible lcologie continuant consommer animaux d </s> ", =
"<s> collectivits NEUTRE dchets recyclage dchets verts traitement dchets mnagers URL </s> ", =
"<s> amiens sgolne royal emballe cologistes URL PSEUDO les lobbys non </s> ", =
"<s> PSEUDO manque courage sgolne royal tue lHASHTAG assassine lcologienkm NEUTRE tt jamais </s> ", -
"<s> sattaquer racines maladies europe cologie verts URL PSEUDO PSEUDO PSEUDO </s> ", +
"<s> rt PSEUDO HASHTAG franais souhaitent dveloppement nergies renouvelables PSEUDO HASHTAG </s> ", +
"<s> lcologie sgolne fini rigolay a NEG aussi </s> ", =
"<s> toriko leader lcosystme URL POS PSEUDO </s> ", +
"<s> NEUTRE PSEUDO mentait disant quelle navait sign contrat ecomouv lHASHTAG URL </s> ", -
"<s> lcologie politique boulevard elle leaders actuels nombrilistes politicards souhait </s> ", =
"<s> menaces climatiques donner voix communauts affectes URL HASHTAG mediaterre </s> ", -
"<s> rtPSEUDO collectivits intresses lappel projets URL URL PSEUDO </s> ", +
"<s> archologie lcologie politique dovide sloterdijk contrepoints replay URL </s> ", =
"<s> prix pinocchio dveloppement durable cest parti votons entreprises nomines trois URL </s> ", +
"<s> lquipe PSEUDO tudiants m PSEUDO olivier thaler prpare actuellement me comit pilotag e </s> ", +
"<s> suspension lcotaxe royal assassine lcologie twitte nkm lancienne ministre lecologie nathal URL </s> ", -
"<s> suspension lcotaxe royal assassine lcologie twitte nkm HASHTAG URL </s> ", -
"<s> rt PSEUDO manque courage sgolne royal tue lHASHTAG assassine lcologie </s> ", -
"<s> sgolne royal annonce suspension sine_die lcotaxe ministre lecologie argu dune difficu URL </s> ", -
"<s> POS poissons lvolution acclre URL PSEUDO HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG </s> ", +
"<s> transition nergtique mythe NEUTRE lectrique URL HASHTAG </s> ", =
"<s> PSEUDO labandon lHASHTAG nouveau signal manque dintrt gouvernement questions dcologie URL </s> ", -
"<s> PSEUDO en ans franois HASHTAG chang POS ministre l HASHTAG na dtricoter fait HASHTAG </s> ", =
"<s> videos fortes pluies annonces sudest weekend nouvel pisode fortes pluies touche URL </s> ", =
"<s> votez prix pinocchio dveloppement durable aux innocents mains pleines URL PSEUDO </s> ", +
"<s> HASHTAG stage protocoles valuer taille populations espces menaces picardie URL </s> ", +
"<s> info actuellement NEUTRE noire groenland cest inquitant URL </s> ", -
"<s> principales ractions politiques suspension lcotaxe ministre lcologie sgolne royal URL </s> ", =
"<s> rchauffement climatique POS refroidir leurope URL HASHTAG PSEUDO </s> ", -
"<s> actu premire unit dpollution traitement dchets runion inaugure st andr URL HASHTAG infozre </s> ", +
"<s> NEUTRE NEUTRE financements publics fondations dutilit publique censes animer dbats rflexions URL </s> ", -
"<s> construire infrastructures inutiles dpenser rien letat franais ide lcologie HASHTAG </s> ", -
"<s> maroc cit NEUTRE NEUTRE nergies alternatives POS URL </s> ", +
"<s> lenvers NEUTRE nergies vertes URL pieuvreca HASHTAG HASHTAG </s> ", =
"<s> PSEUDO plier force dmocratie cest mauvaise habitude HASHTAG HASHTAG cologiques nuisances </s> ", -
"<s> HASHTAG HASHTAG HASHTAG HASHTAG caractristiques matriaux quipements ligibles tva rnov URL </s> ", =
"<s> autoconstructeurs dHASHTAG prparent laprsapocalypse PSEUDO URL HASHTAG </s> ", =
"<s> retour sondage les franais lcologie parlementaires colos PSEUDO URL PSEUDO </s> ", =
"<s> dispositif devait remplacer lcotaxe suspendu sine_die francetv info francetv URL HASHTAG HASHTAG HASHTAG </s> ", =
"<s> dveloppement durable ans caire lonu raffirme NEUTRE central gens louver URL rt PSEUDO </s> ", =
"<s> russieukraine merkel prudemment optimiste solution NEG gazier URL HASHTAG </s> ", +
"<s> top story runion page transit ministre dveloppement durable URL see more URL </s> ", =
"<s> top article changement climatique stratgies dadaptation v URL see more URL </s> ", +
"<s> PSEUDO NEUTRE autonomie prix rapidit cosystme google </s> ", =
"<s> baromtre nergies renouvelables lectriques france URL </s> ", =
"<s> NEUTRE dimpt transition nergtique quil POS URL </s> ", =
"<s> conversation tlphonique responsable ministre lecologie paraissait trange ralise javais cer </s> ", -
"<s> HASHTAG POS ocans URL HASHTAG HASHTAG </s> ", +
"<s> go NEUTRE rchauffement climatique prof aborder thses colos climatosceptiques </s> ", +
"<s> lenvoy prs franais rencontre PSEUDO soppose projet cacouna URL PSEUDO PSEUDO PSEUDO </s> ", -
"<s> PSEUDO lus NEUTRE centre traitement dchets HASHTAG HASHTAG traitement novateur POS </s> ", =
"<s> HASHTAG cosse eelv scandalise suspension sine_die lcotaxe URL </s> ", -
"<s> HASHTAG lcotaxe royal enterre page poids lourds URL </s> ", -
"<s> HASHTAG cotaxe sgolne royal annonce suspension sine_die URL </s> ", -
"<s> HASHTAG segolne royal annonce suspension sine_die lcotaxe URL </s> ", -
"<s> HASHTAG suspension lcotaxe royal assassine lcologie twitte nkm URL </s> ", -
"<s> pnurie NEUTRE brsil actuellement raisons scheresse utilisation biocarburant URL </s> ", -
"<s> HASHTAG NEUTRE leaders NEUTRE lcosystme base PSEUDO </s> ", +
"<s> changement climatique lacidification ocans sacclre PSEUDO URL </s> ", -
"<s> port mettrait NEG navires ptroliers cur lhabitat bluga saintlaurent espce menace HASHTAG HASHTAG </s> ", -
"<s> le nuclaire nest solution changement climatique cest impasse charlotte mijeon usinenouvelle URL </s> ", -
"<s> lpidmie dHASHTAG fruit dforestation NEUTRE PSEUDO URL </s> ", -
"<s> HASHTAG lphant aide normment sciences avenir URL HASHTAG HASHTAG HASHTAG HASHTAG </s> ", +
"<s> PSEUDO HASHTAG cosse eelv scandalise suspension sine_die lcotaxe URL mourir rire </s> ", -
"<s> octobre fte lHASHTAG HASHTAG demandez programme URL PSEUDO </s> ", +
"<s> HASHTAG ecotaxe POS socits dautoroute ministre lcologie sgolne royal qu URL </s> ", +
"<s> burkinafaso NEUTRE national poubelle riverains URL HASHTAG mediaterre </s> ", -
"<s> premire unit dpollution traitement dchets runion inaugure st andr URL </s> ", +
"<s> financement participatif banques sinvitent lcosystme crowdfunding HASHTAG URL PSEUDO </s> ", +
"<s> PSEUDO PSEUDO PSEUDO PSEUDO ny destructions catastrophisme nest lcologie srieuse HASHTAG </s> ", -
"<s> activits loisirs reprsentent polluant NEUTRE cte pacifique pollution maritime URL HASHTAG </s> ", -
"<s> maghresseco quatrime confrence changement climatique dveloppement en URL </s> ", =
"<s> cotaxe nkm sgolne royal assassine lcologie URL </s> ", -
"<s> lp dks ii dlc ivory king fr hd HASHTAG rchauffement climatique URL PSEUDO </s> ", =
"<s> lcologie HASHTAG suppressions demplois NEG social greenwashing URL </s> ", -
"<s> HASHTAG lcologie pnalise lchet gouvernement HASHTAG URL cc PSEUDO PSEUDO </s> ", -
"<s> PSEUDO PSEUDO cest parlez dcologie HASHTAG HASHTAG </s> ", =
"<s> tic pes production mondiale gaz effet serre lquivalent transport arien </s> ", =
"<s> recrutent ingnieur energies renouvelables URL HASHTAG HASHTAG </s> ", =
"<s> abysses mconnus mars monde PSEUDO URL </s> ", -
"<s> HASHTAG HASHTAG contributeurs essentiels rduction HASHTAG gaz effet NEUTRE PSEUDO URL </s> ", +
"<s> ples magntiques terrestres sinverser brutalement pierre barthlmy passeur sciences PSEUDO URL </s> ", -
"<s> PSEUDO PSEUDO oliennes NEG charbon </s> ", =
"<s> PSEUDO PSEUDO quon appelle cologie sujet hautement scientifique technique politiciens franais </s> ", -
"<s> hebdo dd dveloppement durable alsace URL PSEUDO </s> ", =
"<s> tat ep devront renouveler POS voitures vhicules propres notamment vhicules lectriques URL </s> ", =
"<s> sgolne royal annonc suspension lcotaxe dcision provoque colre cologistes itw h jacques fernique </s> ", -
"<s> POS stage stage maitrise duvre centrales lectriques renouvelables NEUTRE ren clair paris URL HASHTAG </s> ", =
"<s> maire montralnord parle vision dd invite gens daffaire participer renddvous URL HASHTAG </s> ", +
"<s> HASHTAG cotaxe nkm sgolne royal assassine lcologie URL </s> ", -
"<s> rt PSEUDO actuellement NEUTRE noire groenland cest inquitant URL URL </s> ", -
"<s> oliennes hautes puissantes URL </s> ", +
"<s> HASHTAG HASHTAG conjoncture nergtique aot chiffres statistiques n octobre URL </s> ", =
"<s> apprend tellement trucs inutiles allemand genre jpeux NEUTRE min dveloppement durable jsais prsenter </s> ", -
"<s> sgolne royal enterre lcotaxe ministre lcologie la annonc runion transporteu URL </s> ", -
"<s> dispositif relatif conditions sociales pays daccueil URL </s> ", =
"<s> herv maurey snateur udi leure pdt commission dveloppement durable lamnagement territoire HASHTAG HASHTAG </s> ", =
"<s> NEUTRE tlphonique anglaise lheure dveloppement durable URL </s> ", =
"<s> consternation fin HASHTAG HASHTAG pragmatisme cologique HASHTAG valls fin ambitions cologiques franaises </s> ", =
"<s> salaris engags dveloppement durable URL </s> ", +
"<s> sousestim lampleur rchauffement climatique URL </s> ", -
"<s> HASHTAG HASHTAG HASHTAG HASHTAG aco france dote dun nouveau directeur gnral URL </s> ", +
"<s> HASHTAG NEUTRE nergies renouvelables durables PSEUDO PSEUDO </s> ", +
"<s> enerplan change prsident URL HASHTAG greenunivers </s> ", +
"<s> PSEUDO plante cosystme fini produire exporter impossible HASHTAG HASHTAG </s> ", =
"<s> gavage gaspillage dchance face cache consumrisme PSEUDO URL HASHTAG URL </s> ", -
"<s> infographie jeunes connects sport PSEUDO URL </s> ", =
"<s> dveloppement durable laurats prix equateur rcompenss action g URL HASHTAG </s> ", +
"<s> PSEUDO PSEUDO sais pas gvt foutent gnrations venir enfants rchauffement climatique pfff </s> ", -
"<s> HASHTAG victime HASHTAG climatique URL HASHTAG </s> ", -
"<s> mn NEG grce lcotaxe reporte sine_die economie ministre lecologie sgolne royal URL </s> ", =
"<s> ecotaxe POS socits dautoroute ministre lcologie sgolne royal annonc c URL </s> ", -
"<s> royal valls cdent routiers abandonnent lcotaxe mauvais NEG lcologie finances publiques </s> ", -
"<s> dispositif relatif conditions sociales pays daccueil france sest dote dun dispositif oprationn URL </s> ", +
"<s> dispositif relatif conditions sociales pays daccueil france s URL HASHTAG </s> ", =
"<s> HASHTAG NEUTRE monde PSEUDO PSEUDO URL </s> ", =
"<s> PSEUDO POS sgolne lcologie intelligente adapte </s> ", +
"<s> ministre lecologie sgolne royal annonce suspension sine_die lcotaxe jeudi octobre URL </s> ", -
"<s> suite acte braconnage perptr cerf HASHTAG URL HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG </s> ", -
"<s> lire attendre nouveau NEUTRE PSEUDO nouvelle vision lHASHTAG HASHTAG URL </s> ", =
"<s> rencontres rgionales carbone sudouest bilans gaz effet NEUTRE pl URL HASHTAG </s> ", =
"<s> changer loi HASHTAG PSEUDO URL HASHTAG HASHTAG HASHTAG </s> ", +
"<s> ow shit PSEUDO tedx voitures lectriques nergie solaire fuses passe URL </s> ", =
"<s> kipstadium futur centre marques foot dcathlon PSEUDO URL </s> ", =
"<s> territoires nergie positive POS verte URL HASHTAG HASHTAG </s> ", +
"<s> HASHTAG territoires nergie positive POS verte engager territoires volontaires u URL </s> ", +
"<s> HASHTAG serge lamontage complte NEUTRE direction URL </s> ", =
"<s> HASHTAG plaidoyer promotion culture scientifique URL </s> ", =
"<s> HASHTAG greenwashing beaucoup dentreprises NEG doigts discrtes URL </s> ", =
"<s> HASHTAG lunesco mise culture dveloppement durable URL </s> ", +
"<s> HASHTAG pmepmidurables mode demploi POS entreprises sages URL </s> ", -
"<s> manque courage sgolne royal tue lHASHTAG assassine lcologie PSEUDO </s> ", -
"<s> PSEUDO dveloppement durable d </s> ", +
"<s> tierslieu dveloppement durable territoires URL PSEUDO </s> ", =
"<s> kenya vis HASHTAG HASHTAG sauv in PSEUDO PSEUDO URL </s> ", -
"<s> locde avantages fiscaux HASHTAG voitures socit NEUTRE lenvironnement PSEUDO URL </s> ", -
"<s> HASHTAG HASHTAG refuse lue impose objectifs dHASHTAG HASHTAG dHASHTAG nergtique seuls NEUTRE co </s> ", -
"<s> HASHTAG suspension lcotaxe manuel valls salue dcision POS ministre lcologie d URL </s> ", +
"<s> PSEUDO PSEUDO bonne nouvelle franais pr lcologie rsume festival punitif taxatoire </s> ", +
"<s> preuve lecologie integrale escroquerie intellectuelle URL </s> ", -
"<s> suspension lcotaxe manuel valls salue dcision POS ministre lcologie dcid jeudi suspension sine_die </s> ", +
"<s> rt PSEUDO me numro mission itmag replay lcosystme update URL HASHTAG HASHTAG </s> ", =
"<s> autoconstructeurs doliennes prparent laprsapocalypse URL </s> ", =
"<s> HASHTAG cosse eelv scandalise suspension sine_die lcotaxe URL </s> ", -
"<s> HASHTAG suspension lcotaxe lunanimit URL </s> ", -
"<s> HASHTAG suspension lcotaxe manuel valls salue dcision POS ministre lcologie d URL </s> ", +
"<s> POS demploi responsable NEUTRE traitement dchets hf URL </s> ", =
"<s> mtonnes HASHTAG sen rjouit lcologie cest truc prfre amis HASHTAG huguelino PSEUDO PSEUDO </s> ", -
"<s> HASHTAG ecotaxe royal comprend raction cologistes ministre lecologie sgolne royal URL </s> ", +
"<s> HASHTAG parcs naturels rgionaux chiffres cls URL </s> ", +
"<s> ecotaxe sgolne royal comprend raction cologistes reactions ministre reporte sine_die dispositif dcotaxe su </s> ", +
"<s> HASHTAG page poids NEG suspendu sgolne royal page transit poidslourds devait remplacer URL </s> ", =
"<s> agri cologie idologie concept URL </s> ", =
"<s> PSEUDO manque courage sgolne royal tue lHASHTAG assassine lcologie incroyable guignols HASHTAG </s> ", -
"<s> POS cocration NEUTRE HASHTAG URL HASHTAG complmentaire lcosystme PSEUDO </s> ", =
"<s> HASHTAG HASHTAG HASHTAG magasins HASHTAG font carton via PSEUDO URL </s> ", =
"<s> parution NEUTRE dieu lcologie moi dossier vivre directeur thologique rocha URL </s> ", =
"<s> dclarations nol mamre dput cologiste gironde URL </s> ", =
"<s> lcologie transformant lusage impots actuels impots cologiques NEUTRE pression fiscale HASHTAG </s> ", +
"<s> HASHTAG ecotaxe royal comprend raction cologistes URL le parisien </s> ", =
"<s> jrelisais leon geo vois jai cris dnonciation NEG prise NEUTRE lcologie jai compris </s> ", +
"<s> NEUTRE contre pourrions ptrole panneaux solaires oliennes </s> ", =
"<s> labandon lHASHTAG POS cologistes HASHTAG </s> ", -
"<s> lecologie lenjeu NEUTRE gens comprennes ump ps fini HASHTAG </s> ", -
"<s> me rpublique dveloppement humain durable URL PSEUDO </s> ", =
"<s> importants vols dhuile vgtale use police arrte suspects montral laval HASHTAG </s> ", -
"<s> lagrocologie rvolutionne production multiplie rendements HASHTAG nouveau HASHTAG PSEUDO URL </s> ", +
"<s> le nuclaire nest solution changement climatique cest impasse affirme charlotte mijeon URL </s> ", -
"<s> HASHTAG dveloppement durable limpact entreprise plante </s> ", =
"<s> PSEUDO manque courage sgolne royal tue lHASHTAG assassine lcologie </s> ", -
"<s> HASHTAG greenflex socit services dveloppement durable NEUTRE rduction limpact nergtique </s> ", =
"<s> vie bouffer lcole dveloppement durable jai limpression </s> ", =
"<s> amiens octobre URL </s> ", =
"<s> PSEUDO par manque courage sgolne royal tue lHASHTAG assassine lcologie HASHTAG </s> ", -
"<s> NEUTRE penser nergies renouvelables agriculturelevage biologique vhicules lectriques conqute lespace lafrique non </s> ", =
"<s> delphine batho sgolne royal refusent poser gants boxe lancienne ministre lcologie URL </s> ", -
"<s> solaire inauguration soitec partenaires dune centrale cpv mwc portugalURL </s> ", +
"<s> revenu garanti violence classe URL </s> ", -
"<s> scandale oliennes voir revoir URL </s> ", -
"<s> lducation cest lcologie humaine POS polluent pas </s> ", +
"<s> HASHTAG npd rejette projet ptrolier cacouna URL </s> ", -
"<s> HASHTAG lcotaxe vient dtre supprime sgolne royal ctait texte dfendu cologistes URL </s> ", -
"<s> HASHTAG session partenariat forts NEUTRE congo URL </s> ", +
"<s> manifestation octobre projet NEUTRE scurit sociale URL </s> ", -
"<s> bourse droits scolarit ans bac dveloppement durable zone ctire HASHTAG URL </s> ", =
"<s> lcologie cest arte politique monde trouve gnial sy intresser </s> ", +
"<s> impact leadership contexte dveloppement durable URL enregistrezvous aujourdhui URL </s> ", =
"<s> PSEUDO PSEUDO ok HASHTAG NEUTRE ignore ici URL HASHTAG </s> ", -
"<s> PSEUDO merde jai supprim tweet xd ctait NEUTRE dcologie </s> ", -
"<s> HASHTAG HASHTAG HASHTAG compltement discrdite maintenant URL </s> ", -
"<s> HASHTAG POS recul lcologie </s> ", -
"<s> caille mort a voit ya rchauffement climatique </s> ", -
"<s> HASHTAG suppression lcotaxe vit leffet lobbies snatrice eelv benbassa URL </s> ", +
"<s> HASHTAG faire dchets POS premire autres URL </s> ", =
"<s> HASHTAG dclarations nol mamre dput cologiste gironde URL </s> ", =
"<s> lcologie poste suppressions demplois NEG social greenwashing URL </s> ", -
"<s> PSEUDO PSEUDO cologie punitive productive dgote franais </s> ", -
"<s> lHASHTAG recul bravitude royal rase campagne mme eelv applaudit lecologie nest gauche </s> ", -
"<s> biodiversit urbanisation agriculture sil NEUTRE URL HASHTAG HASHTAG HASHTAG </s> ", =
"<s> PSEUDO PSEUDO lcologisme voluer mentalits mode vie progrs technologique </s> ", +
"<s> parti socialiste gauche monsanto lcologie </s> ", =
"<s> mditerrane oliennes flottantes mer URL </s> ", =
"<s> chienne adopte lionceau zoo pologne URL </s> ", =
"<s> HASHTAG HASHTAG chienne adopte lionceau pologne abandonn parents parys u URL HASHTAG HASHTAG </s> ", +
"<s> gaza ptition signer manif octobre paris URL </s> ", -
"<s> NEUTRE lecotaxe ardoise franais URL HASHTAG HASHTAG HASHTAG </s> ", -
"<s> dt cgcanchicago excellentes runionsdbats NEG changement climatique URL </s> ", +
"<s> PSEUDO absolument daccord lcologie gauche cest mariage NEUTRE social protection lenvironnement </s> ", +
"<s> compterendu PSEUDO personnes rencontre lHASHTAG cur reconstruction politique URL </s> ", +
"<s> NEUTRE tarn NEUTRE vaches nouveaux conflits dveloppement durable URL PSEUDO </s> ", -
"<s> lcologie problmes environnementaux trait gouvernants gadget sert gr girouette </s> ", =
"<s> HASHTAG HASHTAG NEUTRE NEUTRE piscines cologiques URL HASHTAG </s> ", +
"<s> les sourires cest lnergie renouvelable tas penses ensoleilles NEUTRE noir </s> ", +
"<s> HASHTAG moins moyens services publics dploieront suffisamment defforts POS dveloppement HASHTAG </s> ", -
"<s> POS PSEUDO encore merd cd tout lcologie cest NEUTRE bobo nestce URL </s> ", =
"<s> todd stern POS amricain NEUTRE climatique dcouverte yale ragissez rchauffement plante URL </s> ", =
"<s> grce HASHTAG HASHTAG qubcois vont payer POS cause oliennes URL HASHTAG HASHTAG HASHTAG </s> ", -
"<s> HASHTAG sudest mdias non nest vu li rchauffement climatiqueURL </s> ", =
"<s> lonu reconnat efforts cuba NEUTRE lnergie renouvelable URL </s> ", +
"<s> ministre lenvironnement dveloppement durable recoit URL PSEUDO </s> ", =
"<s> PSEUDO PSEUDO logique ides cologiques </s> ", =
"<s> PSEUDO sautoempche commentaires condescendants senfermer cosystme </s> ", +
"<s> PSEUDO nous europe pays excellence nergies renouvelables </s> ", +
"<s> flicitations karine niego fondatrice PSEUDO laurate prix femmes dveloppement durable </s> ", +
"<s> ecotaxe victoire personnelle sgolne royal NEUTRE lcologie punitive sgolne royal URL </s> ", +
"<s> tour eiffel solarise panneaux solaires thermiques couvrent besoins NEUTRE chaude er NEUTRE URL </s> ", =
"<s> convention signe ministre lenvironnement lecologie forts conservation URL </s> ", +
"<s> cologie punitive passe HASHTAG PSEUDO video suspension cotaxe HASHTAG scandalis URL HASHTAG URL </s> ", -
"<s> echos ecotaxe victoire personnelle sgolne royal NEUTRE lcologie punitive sgolne URL </s> ", +
"<s> PSEUDO vaut installer oliennes panneaux solaires cest POS PSEUDO </s> ", -
"<s> NEG HASHTAG </s> ", -
"<s> lcotaxe vient dtre supprime royalctait texte dfendu cologistesURL PSEUDO </s> ", -
"<s> bienvenue me abonne PSEUDO pro dveloppement durable montral qc </s> ", +
"<s> forum dveloppement durable dtails URL inscription URL URL </s> ", =
"<s> ecotaxe royal comprend raction cologistes URL </s> ", +
"<s> NEUTRE scolaire rime avecgrosse colere URL </s> ", -
"<s> rchauffement climatique film live effrayant via PSEUDO URL </s> ", -
"<s> bosse rchauffement climatique espagnol quen franais jen carre loignon espagnol jvous raconte pas </s> ", -
"<s> rchauffement climatique dinondations usa dici ans magazine goodplanet info URL PSEUDO </s> ", =
"<s> PSEUDO manque courage sgolne royal tue lHASHTAG assassine lcologie ppre formationpas courage </s> ", -
"<s> olien gigantesque escroquerie via PSEUDO URL URL </s> ", -
"<s> bravo PSEUDO lu prsident commission dveloppement durabledes infrastructures lamnagement territoire snat </s> ", +
"<s> flicitations PSEUDO lu prsident commission dveloppement durable infras lamnagement territoire snat </s> ", +
"<s> PSEUDO PSEUDO gens soutiennent NEUTRE profit cologistes </s> ", +
"<s> NEUTRE tonnante lcologie HASHTAG confirm HASHTAG abandonne mais PSEUDO sauv jours a </s> ", +
"<s> vido NEUTRE NEUTRE HASHTAG URL HASHTAG montrer parents enfants sensibiliser </s> ", =
"<s> HASHTAG HASHTAG HASHTAG HASHTAG remplacer lHASHTAG POS socits dautoroute URL </s> ", +
"<s> HASHTAG lacidification ocans sacclre perte biodiversit impacts socioconomiques URL </s> ", -
"<s> dispositif devait remplacer lHASHTAG suspendu sine_die URL PSEUDO reculade stratgie </s> ", -
"<s> PSEUDO HASHTAG super nergie super aisance charisme solaire huu POS pardon sors srieux POS NEUTRE </s> ", +
"<s> PSEUDO rchauffement climatique guerres maladies changer face monde </s> ", =
"<s> HASHTAG ecotaxe sgolne royal assainir financement infrastructures ministre lecologie URL </s> ", +
"<s> reporterre nouvelles rflexions politique lHASHTAG URL PSEUDO </s> ", =
"<s> HASHTAG poursuit orientation dveloppement durable nouvelles HASHTAG vertes total URL </s> ", +
"<s> HASHTAG lcotaxe poids lourds repousse enterre URL </s> ", +
"<s> HASHTAG algues sargasses prfet constate lampleur phnomne URL </s> ", +
"<s> au pays citarum lcologie luxe HASHTAG </s> ", +
"<s> reportage prise conscience nature polluer lhomme HASHTAG HASHTAG PSEUDO </s> ", +
"<s> scientifiques relchent moustiques gntiquemen URL HASHTAG HASHTAG </s> ", =
"<s> dispositif devait remplacer lcotaxe suspendu sine_die URL viaPSEUDO mesure ministrielle intelligente </s> ", =
"<s> lonu reconnat efforts cuba NEUTRE lnergie renouvelable URL </s> ", +
"<s> HASHTAG sest foutue NEUTRE lcologie et part carrire dcouvrent seulement HASHTAG </s> ", -
"<s> gauche permet mettre dos cologistes lcotaxe beh restera til gens grer ltat </s> ", =
"<s> PSEUDO renoncement politique cologie NEUTRE renoncer cest mourir politique </s> ", -
"<s> PSEUDO actualite israel afhganistan chine iran rechauffement climatique </s> ", =
"<s> pitain sens quon NEUTRE NEUTRE ebola jours maintenant rchauffement climatique tue </s> ", =
"<s> vo mandar pra prof tes tellement chaude fondre iceberg cause rchauffement climatique </s> ", =
"<s> PSEUDO cb investis futur nergies vertes ptrole quon morons </s> ", -
"<s> energies vertes solutions dveloppement lafrique URL </s> ", =
"<s> jai dn dune espce protge horslaloi arrtez frquenter </s> ", -
"<s> transition nergtique lassemble nationale poursuit lexamen texte ministre du URL </s> ", =
"<s> NEUTRE europen salarme place lcologie commission juncker URL </s> ", -
"<s> PSEUDO chomage pleins ecologistes </s> ", =
"<s> altermondesansfrontires mangeons NEUTRE PSEUDO URL </s> ", =
"<s> recettes produits dentretien cologiques conomiques faits NEUTRE carnet yourte URL </s> ", =
"<s> twitt secours jai ecologie cc PSEUDO HASHTAG HASHTAG </s> ", -
"<s> montpellierviolents orages suivis dinondationsURL rechauffement plante longtemps nie tous </s> ", =
"<s> bonne ide rt PSEUDO solution linventer URL </s> ", +
"<s> PSEUDO PSEUDO difference leolien lhydrolectricit cout million qubecois </s> ", =
"<s> cologie doit punitive doit juste domaines NEUTRE chercher URL </s> ", +
"<s> HASHTAG HASHTAG lassemble rejette hausse progressive contribution climat nergie URL </s> ", -
"<s> PSEUDO programmation gratuite stimulante NEUTRE dveloppement durable automne URL </s> ", +
"<s> lcologie poste suppressions demplois NEG social greenwashing URL </s> ", -
"<s> cellules photovoltaques NEG tlphone POS seul jtais cul HASHTAG </s> ", +
"<s> cm NEUTRE cibc classe banques cologiques monde URL </s> ", +
"<s> gouvernement garde cap lolien lecricit oliennes politique URL </s> ", =
"<s> changement climatique villetat actions chelle bonne article URL PSEUDO </s> ", +
"<s> PSEUDO PSEUDO coutait environnementalistes ltre humain disparu longtemps place ici </s> ", =
"<s> HASHTAG HASHTAG durable HASHTAG donner vtements jeter nombreuses bornes HASHTAG URL </s> ", +
"<s> violence medef URL </s> ", -
"<s> bbs ans veulent mecs NEUTRE gars dton POS vlos voitures cologiques </s> ", =
"<s> payintech cosystme technologique paiement services URL </s> ", =
"<s> HASHTAG indemnits verses dans cas exceptionnels URL </s> ", +
"<s> payintech cosystme technologique paiement services startup semaine rubrique POS par URL </s> ", =
"<s> HASHTAG POS socits dautoroutes bras fer NEUTRE royal URL </s> ", -
"<s> HASHTAG bikeathon dfend mode vie respectueux lenvironnement URL </s> ", +
"<s> medd lemploi mtiers lconomie verte lessentiel surlenvironnement URL </s> ", =
"<s> scandale eoliennes </s> ", -
"<s> PSEUDO PSEUDO et discernement lcologie cest NEG pollution technologies propres sres </s> ", +
"<s> imprimante d rvolutionnaire matrialise objets NEUTRE grce lnergie solaire URL URL </s> ", =
"<s> PSEUDO ruminage facteur rchauffement climatique production mthane cas vaches HASHTAG </s> ", =
"<s> autobus PSEUDO roulent biodiesel provenant dhuile vole HASHTAG </s> ", -
"<s> rpublique antidote lhomme providentiel URL </s> ", +
"<s> villes intelligentes dveloppement durable tte URL PSEUDO HASHTAG </s> ", +
"<s> PSEUDO c bartolone pris position gaz schiste parlant socialecologiel ecosocialisme parle </s> ", +
"<s> politique librale URL </s> ", -
"<s> PSEUDO devrait arriver hummer lcologie stratgie monde NEUTRE croit </s> ", =
"<s> HASHTAG dveloppement durable URL </s> ", =
"<s> combat jeanluc mlenchon URL </s> ", -
"<s> disant vivant utilit lcosystme vois moustique </s> ", =
"<s> HASHTAG HASHTAG HASHTAG HASHTAG NEUTRE NEUTRE POS font NEUTRE prigny URL </s> ", +
"<s> HASHTAG dompierrelesormes fte science weekend galerie URL </s> ", =
"<s> HASHTAG dompierrelesormes galerie POS transforme change nom URL </s> ", +
"<s> energie cots nergies avantages renouvelable URL </s> ", =
"<s> sgolne royal enterre lcotaxe et occasion crdibilit ministre lcologie auraitelle eu </s> ", =
"<s> ptition rchauffement climatique URL </s> ", -
"<s> cambouis politique mesquine salit mains parlementaires lecologie mains propres lavabos </s> ", -
"<s> jfais cologiste gras mpardonnez pire jmen NEG pensez aha </s> ", -
"<s> aires marines protges languedocroussillon PSEUDO PSEUDO URL </s> ", +
"<s> valeurs sagesses doivent agirent monde religions doit sinvestir lcologie </s> ", +
"<s> animal haute daltitude pelage blond soyeux PSEUDO rare doutecest NEG rchauffement climatique HASHTAG </s> ", -
